video_id,Acc_base,Acc_plus,Acc_delta,Edit_base,Edit_plus,Edit_delta,F1@10_base,F1@10_plus,F1@10_delta,F1@25_base,F1@25_plus,F1@25_delta,F1@50_base,F1@50_plus,F1@50_delta,Avg_base,Avg_plus,Avg_delta
S1_Cheese_C1,5.94,5.94,+0.00,14.04,12.31,-1.73,7.23,6.59,-0.64,4.82,4.40,-0.42,2.41,2.20,-0.21,6.89,6.29,-0.60
S1_CofHoney_C1,21.46,21.86,+0.40,20.00,15.91,-4.09,11.21,9.60,-1.61,5.61,6.40,+0.79,1.87,1.60,-0.27,12.03,11.07,-0.96
S1_Coffee_C1,16.13,18.25,+2.12,14.86,14.71,-0.16,8.70,7.34,-1.36,8.70,7.34,-1.36,0.00,0.00,+0.00,9.68,9.53,-0.15
S1_Hotdog_C1,10.17,10.86,+0.70,19.35,20.00,+0.65,11.11,12.50,+1.39,3.70,4.17,+0.46,0.00,0.00,+0.00,8.87,9.51,+0.64
S1_Pealate_C1,15.03,15.46,+0.43,10.26,10.00,-0.26,6.54,6.41,-0.13,5.23,6.41,+1.18,2.61,1.28,-1.33,7.93,7.91,-0.02
S1_Peanut_C1,20.57,23.01,+2.43,14.29,10.48,-3.81,6.67,5.97,-0.70,5.00,4.48,-0.52,0.00,0.00,+0.00,9.30,8.79,-0.52
S1_Tea_C1,7.37,6.42,-0.95,12.59,11.18,-1.41,6.74,5.10,-1.64,4.49,5.10,+0.61,2.25,1.02,-1.23,6.69,5.77,-0.92
S2_Cheese_C1,12.62,12.93,+0.32,19.51,18.92,-0.59,3.03,3.23,+0.20,3.03,3.23,+0.20,3.03,3.23,+0.20,8.24,8.31,+0.06
S2_CofHoney_C1,9.11,9.96,+0.85,21.28,20.34,-0.94,7.14,6.25,-0.89,4.76,6.25,+1.49,2.38,2.08,-0.30,8.94,8.98,+0.04
S2_Coffee_C1,20.95,21.89,+0.94,12.79,11.01,-1.78,7.69,6.54,-1.16,6.15,5.23,-0.93,4.62,3.92,-0.69,10.44,9.72,-0.72
S2_Hotdog_C1,10.97,11.22,+0.25,23.08,20.51,-2.56,9.38,9.38,+0.00,3.12,3.12,+0.00,3.12,3.12,+0.00,9.94,9.47,-0.46
S2_Pealate_C1,8.98,8.81,-0.17,15.94,16.90,+0.96,7.27,7.14,-0.13,1.82,1.79,-0.03,0.00,0.00,+0.00,6.80,6.93,+0.13
S2_Peanut_C1,13.86,15.77,+1.91,16.92,14.93,-2.00,10.42,10.20,-0.21,4.17,4.08,-0.09,0.00,2.04,+2.04,9.07,9.40,+0.33
S2_Tea_C1,10.27,10.41,+0.14,13.04,10.13,-2.92,7.48,8.55,+1.07,5.61,3.42,-2.19,3.74,1.71,-2.03,8.03,6.84,-1.18
S3_Cheese_C1,3.61,3.50,-0.11,14.04,17.65,+3.61,2.35,2.53,+0.18,2.35,2.53,+0.18,0.00,2.53,+2.53,4.47,5.75,+1.28
S3_CofHoney_C1,10.65,12.00,+1.35,13.73,13.64,-0.09,7.14,6.06,-1.08,2.38,6.06,+3.68,2.38,2.02,-0.36,7.26,7.95,+0.70
S3_Coffee_C1,7.23,7.48,+0.25,13.64,14.15,+0.51,5.26,6.76,+1.49,5.26,2.70,-2.56,1.32,0.00,-1.32,6.54,6.22,-0.32
S3_Hotdog_C1,8.35,9.16,+0.81,13.33,17.02,+3.69,9.09,8.82,-0.27,3.03,2.94,-0.09,3.03,2.94,-0.09,7.37,8.18,+0.81
S3_Pealate_C1,7.87,8.38,+0.51,10.99,13.25,+2.26,6.35,6.78,+0.43,3.17,3.39,+0.22,1.59,1.69,+0.11,5.99,6.70,+0.71
S3_Peanut_C1,3.01,3.01,+0.00,11.94,10.94,-1.00,2.13,2.20,+0.07,2.13,2.20,+0.07,0.00,0.00,+0.00,3.84,3.67,-0.17
S3_Tea_C1,17.85,18.66,+0.81,12.00,11.88,-0.12,7.41,5.97,-1.44,7.41,5.97,-1.44,3.70,4.48,+0.77,9.67,9.39,-0.28
S4_Cheese_C1,10.43,10.31,-0.12,24.44,21.82,-2.63,13.70,12.05,-1.65,8.22,7.23,-0.99,0.00,0.00,+0.00,11.36,10.28,-1.08
S4_CofHoney_C1,9.07,9.30,+0.23,13.95,11.86,-2.09,7.50,6.25,-1.25,5.00,4.17,-0.83,0.00,0.00,+0.00,7.10,6.32,-0.79
S4_Coffee_C1,17.12,16.80,-0.31,22.22,22.54,+0.31,14.14,14.95,+0.81,10.10,7.48,-2.62,4.04,1.87,-2.17,13.52,12.73,-0.80
S4_Hotdog_C1,11.76,10.99,-0.76,14.81,18.18,+3.37,7.55,6.78,-0.77,3.77,6.78,+3.01,3.77,3.39,-0.38,8.33,9.22,+0.89
S4_Pealate_C1,0.72,0.72,+0.00,17.78,15.09,-2.68,0.00,0.00,+0.00,0.00,0.00,+0.00,0.00,0.00,+0.00,3.70,3.16,-0.54
S4_Peanut_C1,7.92,7.92,+0.00,17.14,20.00,+2.86,6.25,6.25,+0.00,6.25,6.25,+0.00,6.25,6.25,+0.00,8.76,9.33,+0.57
S4_Tea_C1,13.73,14.16,+0.43,9.09,12.33,+3.24,5.26,5.45,+0.19,3.51,3.64,+0.13,1.75,1.82,+0.06,6.67,7.48,+0.81
OVERALL,11.17,11.61,+0.45,15.61,15.27,-0.34,7.31,6.99,-0.32,4.60,4.53,-0.07,1.92,1.76,-0.17,8.12,8.03,-0.09
